record_id,site_code,date,region,workload_index,compute_hours,cooling_load_mwh,ambient_temp_c,relative_humidity_pct,pue,water_withdrawal_l,water_consumption_l,water_reuse_pct,electricity_renewable_pct,local_water_stress_score,cooling_efficiency_score,cooling_system,server_utilization_pct,peak_load_pct,rainfall_mm,grid_carbon_intensity_gco2_kwh,review_status
WF-0001,DC-01,2026-01-05,North Campus,58,6984,185.7,22.0,64,1.28,1147870.0,412774.1,42,65,38,86,Closed-loop liquid,66,70,12,280,Monitor
WF-0002,DC-02,2026-01-12,West Campus,74,8052,221.1,23.7,62,1.31,1290010.0,575860.5,28,35,55,74,Evaporative,82,86,21,325,Review
WF-0003,DC-03,2026-01-19,Central Campus,85,8880,248.2,25.4,60,1.35,1402075.0,712814.9,18,20,72,68,Air-cooled,93,97,30,370,Review
WF-0004,DC-04,2026-01-26,South Campus,65,8220,224.2,27.1,58,1.39,1327675.0,370421.3,55,55,46,81,Hybrid,73,77,39,415,Monitor
WF-0005,DC-05,2026-02-02,North Campus,92,8616,277.8,28.8,56,1.28,1463980.0,599060.6,34,40,64,76,Closed-loop liquid,98,99,48,460,High Review
WF-0006,DC-06,2026-02-09,West Campus,80,8340,222.0,30.5,64,1.31,1298200.0,708297.9,12,15,81,61,Evaporative,88,92,57,280,Critical Review
WF-0007,DC-01,2026-02-16,Central Campus,58,7584,194.7,32.2,62,1.35,1211770.0,435752.5,42,65,38,86,Air-cooled,66,70,12,325,Monitor
WF-0008,DC-02,2026-02-23,South Campus,74,8652,230.1,22.0,60,1.39,1353910.0,604385.4,28,35,55,74,Hybrid,82,86,21,370,Review
WF-0009,DC-03,2026-03-02,North Campus,85,8280,257.2,23.7,58,1.28,1393975.0,708696.9,18,20,72,68,Closed-loop liquid,93,97,30,415,Review
WF-0010,DC-04,2026-03-09,West Campus,65,7620,233.2,25.4,56,1.31,1319575.0,368161.4,55,55,46,81,Evaporative,73,77,39,460,Monitor
WF-0011,DC-05,2026-03-16,Central Campus,92,9216,241.8,27.1,64,1.35,1388380.0,568125.1,34,40,64,76,Air-cooled,98,99,48,280,High Review
WF-0012,DC-06,2026-03-23,South Campus,80,8940,231.0,28.8,62,1.39,1362100.0,743161.8,12,15,81,61,Hybrid,88,92,57,325,Critical Review
WF-0013,DC-01,2026-03-30,North Campus,58,6984,203.7,30.5,60,1.28,1203670.0,432839.7,42,65,38,86,Closed-loop liquid,66,70,12,370,Monitor
WF-0014,DC-02,2026-04-06,West Campus,74,8052,239.1,32.2,58,1.31,1345810.0,600769.6,28,35,55,74,Evaporative,82,86,21,415,Review
WF-0015,DC-03,2026-04-13,Central Campus,85,8880,266.2,22.0,56,1.35,1457875.0,741183.7,18,20,72,68,Air-cooled,93,97,30,460,Review
WF-0016,DC-04,2026-04-20,South Campus,65,8220,197.2,23.7,64,1.39,1243975.0,347069.0,55,55,46,81,Hybrid,73,77,39,280,Monitor
WF-0017,DC-05,2026-04-27,North Campus,92,8616,250.8,25.4,62,1.28,1380280.0,564810.6,34,40,64,76,Closed-loop liquid,98,99,48,325,High Review
WF-0018,DC-06,2026-05-04,West Campus,80,8340,240.0,27.1,60,1.31,1354000.0,738742.4,12,15,81,61,Evaporative,88,92,57,370,Critical Review
WF-0019,DC-01,2026-05-11,Central Campus,58,7584,212.7,28.8,58,1.35,1267570.0,455818.2,42,65,38,86,Air-cooled,66,70,12,415,Monitor
WF-0020,DC-02,2026-05-18,South Campus,74,8652,248.1,30.5,56,1.39,1409710.0,629294.5,28,35,55,74,Hybrid,82,86,21,460,Review
WF-0021,DC-03,2026-05-25,North Campus,85,8280,230.2,32.2,64,1.28,1310275.0,666143.8,18,20,72,68,Closed-loop liquid,93,97,30,280,Review
WF-0022,DC-04,2026-06-01,West Campus,65,7620,206.2,22.0,62,1.31,1235875.0,344809.1,55,55,46,81,Evaporative,73,77,39,325,Monitor
WF-0023,DC-05,2026-06-08,Central Campus,92,9216,259.8,23.7,60,1.35,1444180.0,590958.5,34,40,64,76,Air-cooled,98,99,48,370,High Review
WF-0024,DC-06,2026-06-15,South Campus,80,8940,249.0,25.4,58,1.39,1417900.0,773606.2,12,15,81,61,Hybrid,88,92,57,415,Critical Review
